projectName,SHA,CommitNumber,Files,Refactored,RefactoringType,Affected Files
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,83ae18c1618ca457f0be9736275b121b10774fbb,1,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
DeRec-GEA,1a10ca4dc2d3a09fe6275c2b1f4768a71ccb3992,2,,,,
