projectName,SHA,CommitNumber,Files,Refactored,RefactoringType,Affected Files
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,0e46c799feecea0b09b1e885df76ce9177773359,21,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330eacdb,22,,,,
DeRec-GEA,51beb5be78a6ce56e57051a9ab21c46f330
